qid,activity,exposure,dayofweek,response,endurance
62266114,2,112,0,187.0,735.0
62268460,5,44,0,463.00000000000006,463.00000000000006
62269711,1,56,0,446.0,446.0
62269859,3,2000,0,1126.0,5980.0
62271899,1,51,0,90565.0,185448.0
62238861,0,1000,5,,964.0000000000001
62272810,0,156,0,,0.0
62239462,3,497,6,25772.0,25772.0
62239404,2,31,6,9340.0,119475.00000000001
62238627,0,23,5,,2428.0
62239758,3,366,6,74322.0,76773.0
62240062,1,41,6,41417.0,41417.0
62240267,2,282,6,11592.0,15915.000000000002
62241089,4,2000,6,398.0,425.0
62241186,1,112,6,198713.0,198713.0
62239806,2,175,6,94133.0,94133.0
62241527,0,77,6,,57970.0
62241215,4,668,6,1266.0,10098.0
62241775,4,829,6,92692.0,92692.0
62242061,0,74,6,,0.0
62243439,3,23,6,4270.0,42221085.0
62243774,0,54,6,,1500.0
62243966,1,217,6,145.0,145.0
62246284,0,140,6,,3131.0
62244752,3,15,6,446.0,446.0
62247171,0,48,6,,77809.0
62248315,0,44,6,,189680.0
62247896,1,115,6,,0.0
62248765,2,93,6,1278.0,1278.0
62248768,1,667,6,272557.0,272557.0
62249161,0,291,6,,0.0
62249284,1,27,6,1473.0,5957.0
62249543,4,33,6,2151.0,51993125.0
62249635,1,13,6,,0.0
62249670,0,35,6,,560.0
62250328,0,141,6,,0.0
62251422,0,132,6,,232583.0
62252300,2,278,6,51792.0,51792.0
62251416,1,73,6,81806.0,81806.0
62252648,1,12,6,645.0,645.0
62253021,0,62,6,,0.0
62253446,8,73,0,4109.0,68646.0
62253194,0,114,0,,0.0
62251266,3,41,6,1091.0,1091.0
62253778,0,881,0,,19890.0
62253926,0,21,0,,0.0
62254010,1,298,0,,5188.0
62254070,3,2000,0,20096.0,2453808.0
62250031,3,56,6,1268.0,1268.0
62254746,2,553,0,1059.0,1059.0
62256702,1,27,0,6963.0,12367.0
62258416,0,678,0,,4351.0
62257975,3,252,0,351.0,23794009.0
62258914,1,20,0,9246.0,9246.0
62281750,0,73,1,,0.0
62281888,0,195,1,,178.0
62259409,5,359,0,1425.0,1425.0
62282189,1,94,1,1862192.0,1862192.0
62282938,2,1000,1,6486.0,27661.0
62283287,1,71,1,2489.0,65921.0
62283932,0,297,1,,83275.0
62284368,3,75,1,249670.00000000003,249670.00000000003
62284490,0,14,1,,0.0
62286051,1,25,1,1653.0,1653.0
62284431,4,5000,1,58925.00000000001,58925.00000000001
62285527,1,34,1,256.0,256.0
62286313,1,21,1,17347.0,17347.0
62288230,1,53,1,334.0,4945.0
62287943,2,25,1,5195.0,5195.0
62288685,0,24,1,,2091.0
62289663,3,108,1,11008.0,11700.0
62290284,3,2000,1,358.0,11627688.0
62291481,2,624,1,7528.000000000001,7528.000000000001
62292998,1,427,1,35847.0,89321.0
62292407,1,21,1,514.0,514.0
62293133,3,65,1,318.0,1035.0
62292814,2,763,1,1950.0000000000002,75853.0
62294121,1,675,2,31397.000000000004,31397.000000000004
62293670,12,791,1,471410.00000000006,50923388.0
62294829,2,120,2,6172.0,3213497.0
62295566,0,70,2,,1210.0
62295485,0,41,2,,0.0
62293042,3,72,1,1227.0,1264.0
